"'['||S.BUILDING_ID||']'","LATN_NAME","BUILDING_NAME"
"[11562511]","衢州市","桃溪路162号-开化县职业教育中心食堂"
"[11562512]","衢州市","桃溪路162号-开化县职业教育中心宿舍楼（男）"
"[11562513]","衢州市","桃溪路162号-开化县职业教育中心宿舍楼（女）"
"[11562514]","衢州市","桃溪路162号-开化县职业教育中心硅电子实训中心"
"[11562515]","衢州市","桃溪路160号-开化县程氏中医骨科医院大楼"
"[11562516]","衢州市","桃溪路160号-开化县程氏中医骨科医院食堂"
"[11562517]","衢州市","桃溪路158号-开化县城关公路管理站公路管理大楼"
"[11562518]","衢州市","桃溪路158号-开化县城关公路管理站公路路政大楼"
"[11562519]","衢州市","桃溪路158号-开化县城关公路管理站应急抢救中心"
"[11562520]","衢州市","桃溪路68号-国家电网办公大楼"
"[11562521]","衢州市","桃溪路68号-国家电网监理站"
"[11562522]","衢州市","桃溪路68号-国家电网检修（建设）工区"
"[11562523]","衢州市","桃溪路68号-国家电网车库"
"[11562524]","衢州市","桃溪路68号-国家电网供电公司"
"[11562525]","衢州市","桃溪路68号-国家电网仓库"
"[11562526]","衢州市","桃溪路68号-国家电网员工餐厅"
"[11562527]","衢州市","桃溪路62号-开化县公安局看守所法律援助中心"
"[11562528]","衢州市","桃溪路62号-开化县公安局看守所民警训练基地"
"[11562529]","衢州市","桃溪路62号-开化县武警中队"
"[11562530]","衢州市","桃溪路62号-开化县武警中队宿舍"
"[11562531]","衢州市","桃溪路62号-开化县武警中队食堂"
"[11562532]","衢州市","桃溪路62号-开化县公安局巡特警大队"
"[11562533]","衢州市","桃溪路50号-农机管理特产茶叶局"
"[11562534]","衢州市","桃溪路50号-农机管理农机服务大厅"
"[11562535]","衢州市","桃溪路50号-农机管理农机检测中心"
"[11562536]","衢州市","桃溪路50号-江西金峰水利建设工程有限公司"
"[11562537]","衢州市","桃溪路120号-衢州市恒星照明有限公司"
"[11562538]","衢州市","桃溪路50-1号-开化县开拓水泥制品有限公司"
"[11562539]","衢州市","根博路90号-开化县青山加油站"
"[11562540]","衢州市","开化古溪路-城东信用合作联社"
"[11562541]","衢州市","开化古溪路-城东小学"
"[11562542]","衢州市","开化古溪路-开化二中"
"[11562543]","衢州市","开化城关镇香溢人家13号左侧-开化县建设工程质量监督管理站"
"[11562544]","衢州市","芹北路55号-开化电友汽车运输有限公司"
"[11562545]","衢州市","开化芹北路69号-救助管理站"
"[11562546]","衢州市","开化芹北路51号-城关派出所"
"[11562547]","衢州市","开化城关镇岙滩村综合楼凤凰中路-开化简爱精品酒店"
"[11562548]","衢州市","开化城关镇岙滩村综合楼凤凰中路-开化荷花塘酒店岙滩分店"
"[11562549]","衢州市","开化城关镇岙滩村综合楼凤凰中路-开化岙滩村村民公寓大楼"
"[11562550]","衢州市","开化城关镇凤凰中路69号-开化钱江源之星大酒店"
"[11562551]","衢州市","开化城关镇凤凰中路69号-开化消防中队主楼"
"[11562552]","衢州市","开化城关镇凤凰中路69号-开化消防中队副楼"
"[11562553]","衢州市","开化城关镇凤凰中路69号-开化消防中队宿舍楼"
"[11562554]","衢州市","开化城关镇岙滩新村兴岙小区-衢州电信长途电信传输局开化分局"
"[11562555]","衢州市","开化芹南路18-1号-天都宾馆"
"[11562556]","衢州市","开化芹南路34-6号-平安宾馆"
"[11562557]","衢州市","解放路47号移动公司-移动公司"
"[11562558]","衢州市","解放路49号浙江同益建设公司-浙江同益建设公司"
"[11562559]","衢州市","解放路49号-第二医药公司门市部"
"[11562560]","衢州市","解放路43号-中国邮政"
"[11562561]","衢州市","解放路43号-信用社便利店"
"[11562562]","衢州市","解放路39号-工商银行ATM机"
"[11562563]","衢州市","开化凤凰中路61#-开化残联大楼"
"[11562564]","衢州市","开化凤凰中路59#-开化人民医院门诊楼"
"[11562565]","衢州市","开化凤凰中路59#-开化人民医院住院楼"
"[11562566]","衢州市","开化凤凰中路59#-开化人民医院后勤楼"
"[11562567]","衢州市","开化凤凰中路59#-开化人民医院感染楼"
"[11562568]","衢州市","永吉二路1号-开化县人武部办公楼"
"[11562569]","衢州市","永吉二路1号-开化县人武部宿舍楼"
"[11562570]","衢州市","永吉二路3号-开化县城关镇政府大楼"
"[11562571]","衢州市","永吉二路3号-开化县中国人民保险公司办公楼"
"[11562572]","衢州市","解放街44号-本色128商务宾馆"
"[11562573]","衢州市","开化钟山路42号-浙江省开化县行政学校"
"[11562574]","衢州市","开化钟山路75号-开化县森林公安局"
"[11562575]","衢州市","开化钟山路75号-成长快乐幼儿园"
"[11562576]","衢州市","开化芹北路22号-白玫瑰足道"
"[11562577]","衢州市","开化芹北路22号-开化县农村信用合作联社"
"[11562578]","衢州市","开化芹北路24号-利群超市"
"[11562579]","衢州市","开化芹北路24号-利群商务精品酒店"
"[11562580]","衢州市","开化芹北路26号-原开化县中医院"
"[11562581]","衢州市","开化芹北路28号-开化县环境卫生管理所"
"[11562582]","衢州市","开化芹北路34号-开化县北门小学教学楼1"
"[11562583]","衢州市","开化芹北路34号-开化县北门小学办公楼2"
"[11562584]","衢州市","开化环城路32号-开化眼科医院"
"[11562585]","衢州市","开化芹北路32号-计划生育指导"
"[11562586]","衢州市","开化芹北路34号-开化县北门小学教学楼2"
"[11562587]","衢州市","开化芹北路34号-开化县北门小学教学楼3"
"[11562588]","衢州市","钟山路42号-南阳名都大酒店1"
"[11562589]","衢州市","钟山路42号-南阳名都大酒店2"
"[11562590]","衢州市","钟山路42号-南阳名都大酒店3"
"[11562591]","衢州市","钟山路42号-南阳名都大酒店4"
"[11562592]","衢州市","钟山路42号-南阳名都大酒店5"
